zipcode,City,
98001,Auburn,
98002,Auburn,
98003,Federal Way,
98004,Bellevue,
98005,Bellevue,
98006,Bellevue,
98007,Bellevue,
98008,Bellevue,
98009,Bellevue,
98010,Black Diamond,
98011,Bothell,
98012,Bothell,
98013,Burton,
98014,Carnation,
98015,Bellevue,
98019,Duvall,
98020,Edmonds,
98021,Bothell,
98022,Enumclaw,
98023,Federal Way,
98024,Fall City,
98025,Hobart,
98026,Edmonds,
98027,Issaquah,
98028,Kenmore,
98029,Issaquah,
98030,Kent,
98031,Kent,
98032,Kent,
98033,Kirkland,
98034,Kirkland,
98035,Kent,
98038,Maple Valley,
98039,Medina,
98040,Mercer Island,
98041,Bothell,
98042,Kent,
98045,North Bend,
98047,Pacific,
98050,Preston,
98051,Ravensdale,
98052,Redmond,
98053,Redmond,
98054,Redondo,
98055,Renton,
98056,Renton,
98058,Renton,
98059,Renton,
98062,Seahurst,Renton
98063,Federal Way,
98064,Kent,
98065,Snoqualmie,
98068,Snoqualmie,
98070,Vashon,
98071,Auburn,
98072,Woodinville,
98073,Redmond,
98074,Sammamish,
98075,Sammamish,
98077,Woodinville,
98083,Kirkland,
98092,Auburn,
98093,Auburn,
98101,Federal Way,
98102,Seattle,
98103,Seattle,
98104,Seattle,
98105,Seattle,
98106,Seattle,
98107,Seattle,
98108,Seattle,
98109,Tukwila,
98111,Seattle,
98112,Seattle,
98114,Seattle,
98115,Seattle,
98116,Seattle,
98117,Seattle,
98118,Seattle,
98119,Seattle,
98121,Seattle,
98122,Seattle,
98124,Seattle,
98125,Seattle,
98126,Seattle,
98131,Seattle,
98132,Seattle,
98133,Seattle,
98134,Shoreline,
98136,Seattle,
98138,Seattle,
98144,Tukwila,
98145,Seattle,
98146,Seattle,
98148,Seattle,
98154,Seattle,
98155,Seattle,
98158,Shoreline,
98158,Seatac,
98160,Seattle,
98161,Seattle,
98164,Seattle,
98166,Seattle,
98168,Seattle,
98171,Tukwila,
98174,Seattle,
98177,Seattle,
98178,Seattle,
98188,Seatac,
98198,Des Moines,
98199,Seattle,
98224,Seattle,
98288,Baring,
